22:04:00.033 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.edigest.journalApp.JournalApplication for test class com.edigest.journalApp.JournalAppApplicationTests
22:04:00.455 [main] INFO  c.e.j.JournalAppApplicationTests - Starting JournalAppApplicationTests using Java 21.0.9 with PID 9004 (started by Pranchal in C:\Projects\journalApp)
22:04:00.457 [main] INFO  c.e.j.JournalAppApplicationTests - The following 1 profile is active: "dev"
22:04:01.566 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data MongoDB repositories in DEFAULT mode.
22:04:01.620 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 47 ms. Found 2 MongoDB repository interfaces.
22:04:02.687 [main] INFO  org.mongodb.driver.client - MongoClient with metadata {"application": {"name": "Cluster0"}, "driver": {"name": "mongo-java-driver|sync|spring-boot", "version": "5.5.2"}, "os": {"type": "Windows", "name": "Windows 11", "architecture": "amd64", "version": "10.0"}, "platform": "Java/Oracle Corporation/21.0.9+7-LTS-338"} created with settings MongoClientSettings{readPreference=primary, writeConcern=WriteConcern{w=null, wTimeout=null ms, journal=null}, retryWrites=true, retryReads=true, readConcern=ReadConcern{level=null}, credential=MongoCredential{mechanism=null, userName='spranchal864_db_user', source='admin', password=<hidden>, mechanismProperties=<hidden>}, transportSettings=null, commandListeners=[io.micrometer.core.instrument.binder.mongodb.MongoMetricsCommandListener@4536a715], codecRegistry=ProvidersCodecRegistry{codecProviders=[ValueCodecProvider{}, BsonValueCodecProvider{}, DBRefCodecProvider{}, DBObjectCodecProvider{}, DocumentCodecProvider{}, CollectionCodecProvider{}, IterableCodecProvider{}, MapCodecProvider{}, GeoJsonCodecProvider{}, GridFSFileCodecProvider{}, Jsr310CodecProvider{}, JsonObjectCodecProvider{}, BsonCodecProvider{}, EnumCodecProvider{}, com.mongodb.client.model.mql.ExpressionCodecProvider@6658f08a, com.mongodb.Jep395RecordCodecProvider@37c2f0b4, com.mongodb.KotlinCodecProvider@35dcd032]}, loggerSettings=LoggerSettings{maxDocumentLength=1000}, clusterSettings={hosts=[127.0.0.1:27017], srvHost=cluster0.3mev3q1.mongodb.net, srvServiceName=mongodb, mode=MULTIPLE, requiredClusterType=REPLICA_SET, requiredReplicaSetName='atlas-oa4inv-shard-0', serverSelector='null', clusterListeners='[]', serverSelectionTimeout='30000 ms', localThreshold='15 ms'}, socketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=0, receiveBufferSize=0, proxySettings=ProxySettings{host=null, port=null, username=null, password=null}}, heartbeatSocketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=10000, receiveBufferSize=0, proxySettings=ProxySettings{host=null, port=null, username=null, password=null}}, connectionPoolSettings=ConnectionPoolSettings{maxSize=100, minSize=0, maxWaitTimeMS=120000, maxConnectionLifeTimeMS=0, maxConnectionIdleTimeMS=0, maintenanceInitialDelayMS=0, maintenanceFrequencyMS=60000, connectionPoolListeners=[io.micrometer.core.instrument.binder.mongodb.MongoMetricsConnectionPoolListener@4522d793], maxConnecting=2}, serverSettings=ServerSettings{heartbeatFrequencyMS=10000, minHeartbeatFrequencyMS=500, serverMonitoringMode=AUTO, serverListeners='[]', serverMonitorListeners='[]'}, sslSettings=SslSettings{enabled=true, invalidHostNameAllowed=false, context=null}, applicationName='Cluster0', compressorList=[], uuidRepresentation=JAVA_LEGACY, serverApi=null, autoEncryptionSettings=null, dnsClient=null, inetAddressResolver=null, contextProvider=null, timeoutMS=null}
22:04:03.088 [main] INFO  org.mongodb.driver.cluster - Waiting for server to become available for operation with ID 2. Remaining time: 29990 ms. Selector: WritableServerSelector, topology description: {type=UNKNOWN, servers=[].
22:04:03.320 [cluster-ClusterId{value='6982237aec68a90a005459fe', description='Cluster0'}-srv-cluster0.3mev3q1.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-exzrcvr-shard-00-01.3mev3q1.mongodb.net:27017 to client view of cluster
22:04:03.342 [cluster-ClusterId{value='6982237aec68a90a005459fe', description='Cluster0'}-srv-cluster0.3mev3q1.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-exzrcvr-shard-00-00.3mev3q1.mongodb.net:27017 to client view of cluster
22:04:03.345 [cluster-ClusterId{value='6982237aec68a90a005459fe', description='Cluster0'}-srv-cluster0.3mev3q1.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-exzrcvr-shard-00-02.3mev3q1.mongodb.net:27017 to client view of cluster
22:04:04.333 [cluster-ClusterId{value='6982237aec68a90a005459fe', description='Cluster0'}-ac-exzrcvr-shard-00-02.3mev3q1.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-exzrcvr-shard-00-02.3mev3q1.mongodb.net:27017, type=REPLICA_SET_PRIMARY, cryptd=false, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=391766400, minRoundTripTimeNanos=0, setName='atlas-oa4inv-shard-0', canonicalAddress=ac-exzrcvr-shard-00-02.3mev3q1.mongodb.net:27017, hosts=[ac-exzrcvr-shard-00-00.3mev3q1.mongodb.net:27017, ac-exzrcvr-shard-00-01.3mev3q1.mongodb.net:27017, ac-exzrcvr-shard-00-02.3mev3q1.mongodb.net:27017], passives=[], arbiters=[], primary='ac-exzrcvr-shard-00-02.3mev3q1.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az2'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=7fffffff000000000000011c, setVersion=287, topologyVersion=TopologyVersion{processId=697a50b1a4faec7a344ffe05, counter=6}, lastWriteDate=Tue Feb 03 22:04:04 IST 2026, lastUpdateTimeNanos=3082592371800}
