23:18:00.114 [cluster-ClusterId{value='69c5714eacb267d0ad8746f8', description='Cluster0'}-ac-exzrcvr-shard-00-00.3mev3q1.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-exzrcvr-shard-00-00.3mev3q1.mongodb.net:27017, type=REPLICA_SET_SECONDARY, cryptd=false, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=541829699, minRoundTripTimeNanos=0, setName='atlas-oa4inv-shard-0', canonicalAddress=ac-exzrcvr-shard-00-00.3mev3q1.mongodb.net:27017, hosts=[ac-exzrcvr-shard-00-00.3mev3q1.mongodb.net:27017, ac-exzrcvr-shard-00-01.3mev3q1.mongodb.net:27017, ac-exzrcvr-shard-00-02.3mev3q1.mongodb.net:27017], passives=[], arbiters=[], primary='ac-exzrcvr-shard-00-01.3mev3q1.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az1'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=287, topologyVersion=TopologyVersion{processId=69b2e4ff0d5b521614cbc362, counter=4}, lastWriteDate=Thu Mar 26 23:18:00 IST 2026, lastUpdateTimeNanos=4414061167590799}
23:18:00.114 [cluster-ClusterId{value='69c5714eacb267d0ad8746f8', description='Cluster0'}-ac-exzrcvr-shard-00-01.3mev3q1.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-exzrcvr-shard-00-01.3mev3q1.mongodb.net:27017, type=REPLICA_SET_PRIMARY, cryptd=false, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=543614701, minRoundTripTimeNanos=0, setName='atlas-oa4inv-shard-0', canonicalAddress=ac-exzrcvr-shard-00-01.3mev3q1.mongodb.net:27017, hosts=[ac-exzrcvr-shard-00-00.3mev3q1.mongodb.net:27017, ac-exzrcvr-shard-00-01.3mev3q1.mongodb.net:27017, ac-exzrcvr-shard-00-02.3mev3q1.mongodb.net:27017], passives=[], arbiters=[], primary='ac-exzrcvr-shard-00-01.3mev3q1.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az3'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=7fffffff0000000000000121, setVersion=287, topologyVersion=TopologyVersion{processId=69b2e7d7ffef36ef94f670d8, counter=6}, lastWriteDate=Thu Mar 26 23:18:00 IST 2026, lastUpdateTimeNanos=4414061167590700}
23:18:00.116 [cluster-ClusterId{value='69c5714eacb267d0ad8746f8', description='Cluster0'}-ac-exzrcvr-shard-00-02.3mev3q1.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-exzrcvr-shard-00-02.3mev3q1.mongodb.net:27017, type=REPLICA_SET_SECONDARY, cryptd=false, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=373780699, minRoundTripTimeNanos=0, setName='atlas-oa4inv-shard-0', canonicalAddress=ac-exzrcvr-shard-00-02.3mev3q1.mongodb.net:27017, hosts=[ac-exzrcvr-shard-00-00.3mev3q1.mongodb.net:27017, ac-exzrcvr-shard-00-01.3mev3q1.mongodb.net:27017, ac-exzrcvr-shard-00-02.3mev3q1.mongodb.net:27017], passives=[], arbiters=[], primary='ac-exzrcvr-shard-00-01.3mev3q1.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az2'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=287, topologyVersion=TopologyVersion{processId=69b2ea8b1a2857c1cb805842, counter=3}, lastWriteDate=Thu Mar 26 23:18:00 IST 2026, lastUpdateTimeNanos=4414061167590799}
23:18:00.123 [cluster-ClusterId{value='69c5714eacb267d0ad8746f8', description='Cluster0'}-ac-exzrcvr-shard-00-01.3mev3q1.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Discovered replica set primary ac-exzrcvr-shard-00-01.3mev3q1.mongodb.net:27017 with max election id 7fffffff0000000000000121 and max set version 287
23:18:01.855 [main] INFO  o.s.b.a.e.web.EndpointLinksResolver - Exposing 1 endpoint beneath base path '/actuator'
23:18:01.902 [main] INFO  o.s.s.c.a.a.c.InitializeUserDetailsBeanManagerConfigurer$InitializeUserDetailsManagerConfigurer - Global AuthenticationManager configured with UserDetailsService bean with name userDetailsServiceImpl
23:18:02.458 [main] INFO  c.e.j.Services.EmailServiceTest - Started EmailServiceTest in 5.736 seconds (process running for 7.065)
23:18:25.717 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.edigest.journalApp.Services.EmailServiceTest]: EmailServiceTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
23:18:25.967 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.edigest.journalApp.JournalApplication for test class com.edigest.journalApp.Services.EmailServiceTest
23:18:26.555 [main] INFO  c.e.j.Services.EmailServiceTest - Starting EmailServiceTest using Java 21.0.9 with PID 29032 (started by Pranchal in C:\Projects\journalApp)
23:18:26.557 [main] INFO  c.e.j.Services.EmailServiceTest - The following 1 profile is active: "dev"
